index,brand,Model,Price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,OS,year_of_warranty,Category
484,14,Lenovo IdeaPad 3 82H803HRIN Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),629.9,60,2,3,4,8,16,SSD,512,No secondary storage,0,3,2,False,15.6,1920,1080,6,1,2
485,2,Asus Vivobook Pro 15 M6500QC-HN751WS Laptop (AMD Ryzen 7 5800HS/ 16 GB RAM/ 1 TB SSD/ Win 11/ 4 GB Graphics),739.9,64,0,11,8,16,16,SSD,1024,No secondary storage,0,4,1,False,15.6,1920,1080,6,1,1
486,2,Asus Vivobook Pro 15 M6500QC-HN551WS Laptop (AMD Ryzen 5 5600HS/ 16 GB RAM/ 1 TB SSD/ Win 11/ 4 GB Graphics),699.9,63,0,10,6,12,16,SSD,1024,No secondary storage,0,4,1,False,15.6,1920,1080,6,1,1
487,14,Lenovo Ideapad Slim 5 82XE004QIN Laptop (AMD Ryzen 5 7530U/ 16 GB RAM/ 512 GB SSD/ Win 11),663.89,62,0,10,6,12,16,SSD,512,No secondary storage,0,0,2,False,14.0,1920,1200,6,1,1
488,10,HP 250 G9 7N179PA Laptop (12th Gen Core i5/ 8 GB RAM/ 512 GB SSD/ Win 11),609.99,58,2,2,10,12,8,SSD,512,No secondary storage,0,3,2,False,15.6,1366,768,6,1,2
489,14,Lenovo Ideapad Slim 5 82XF007CIN Laptop (13th Gen Core i5/ 16 GB RAM/ 1 TB SSD/ Win 11),719.9,58,2,2,12,16,16,SSD,1024,No secondary storage,0,3,2,False,16.0,1920,1200,6,1,2
490,14,Lenovo IdeaPad Slim 5i 83BG000DIN Laptop (12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11),618.59,58,2,2,8,12,16,SSD,512,No secondary storage,0,3,2,False,16.0,1920,1200,6,1,2
491,2,Asus Vivobook 16X 2023 K3605ZC-MBN752WS Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),989.9,73,2,3,10,16,16,SSD,1024,No secondary storage,0,4,1,False,16.0,1920,1200,6,1,1
492,14,Lenovo IdeaPad Slim 3 82RK00VVIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),369.9,53,2,1,6,8,8,SSD,512,No secondary storage,0,3,2,False,15.6,1920,1080,6,1,3
493,6,Dell Inspiron 3530 IN3530RW8JY001ORS1 Laptop (13th Gen Core i5/ 8GB/ 1TB SSD/ Win11 Home),599.9,53,2,2,10,12,8,SSD,1024,No secondary storage,0,3,2,False,15.6,1920,1080,6,1,2
494,0,Acer Aspire 7 A715-76G UN.QMYSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),569.9,72,2,2,8,12,16,SSD,512,No secondary storage,0,4,1,False,15.6,1920,1080,6,1,1
495,0,Acer Aspire 7 A715-76G NH.QMYSI.001 Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),529.9,70,2,2,8,12,8,SSD,512,No secondary storage,0,4,1,False,15.6,1920,1080,6,1,3
496,2,Asus TUF Gaming F15 90NR0GW1-M00F00 Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),909.9,64,2,3,14,20,16,SSD,1024,No secondary storage,0,4,1,False,15.6,1920,1080,6,1,1
497,2,Asus Vivobook 16X 2023 K3605ZV-MBN741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),1149.9,72,2,3,10,16,16,SSD,512,No secondary storage,0,4,1,False,16.0,1920,1200,6,1,1
498,2,Asus Chromebook CX1400CKA-EK0257 Laptop (Celeron N4500/ 4GB/ 64GB eMMC/ Chrome OS),169.9,37,2,0,2,2,4,SSD,64,No secondary storage,0,3,2,False,14.0,1920,1080,1,1,3
499,2,Asus Chromebook CX1400FKA-EC0158 Laptop (Celeron N4500/ 4GB/ 64GB eMMC/ Chrome OS),257.51,41,2,0,2,2,4,SSD,64,No secondary storage,0,3,2,True,14.0,1920,1080,1,1,3
500,2,Asus Chromebook CX1400CKA-EK0335 Laptop (Celeron N4500/ 4GB/ 128GB eMMC/ Chrome OS),189.9,37,2,0,2,2,4,SSD,128,No secondary storage,0,3,2,False,14.0,1920,1080,1,1,3
501,2,Asus Vivobook 16 2023 X1605ZAB-MB322WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),446.39,57,2,1,6,8,8,SSD,512,No secondary storage,0,3,2,False,16.0,1920,1200,6,1,3
502,10,HP 250 G9 7M659PA Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),444.9,62,2,1,6,8,8,SSD,512,No secondary storage,0,3,2,False,15.6,1366,768,6,1,3
503,2,Asus Chromebook CX1500CKA-EJ0275 Laptop (Celeron N4500/ 8GB/ 64GB eMMC/ Chrome OS),229.91,37,2,0,2,2,8,SSD,64,No secondary storage,0,3,2,False,15.6,1920,1080,1,1,3
504,8,Gigabyte G5 KF-E3IN313SH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 8GB Graph),899.9,73,2,2,12,16,8,SSD,512,No secondary storage,0,4,1,False,15.6,1920,1080,6,2,2
505,14,Lenovo IdeaPad Slim 5 16IAH8 83BG000PIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),621.9,63,2,2,8,12,16,SSD,512,No secondary storage,0,3,2,False,16.0,1920,1200,6,1,2
506,2,Asus Vivobook 16X K3605ZU-MBN742WS Laptop (12th Gen Core i7/ 16 GB RAM/ 512 GB SSD/ Win 11/ 6GB Graphics),984.68,72,2,3,10,16,16,SSD,512,No secondary storage,0,4,1,False,16.0,1920,1200,6,1,1
507,14,Lenovo IdeaPad Flex 5 82Y0004YIN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),589.9,58,2,1,6,8,8,SSD,512,No secondary storage,0,3,2,True,14.0,1920,1200,6,1,3
508,14,Lenovo IdeaPad Slim 5 14IAH8 83BF000UIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),601.9,59,2,2,8,12,16,SSD,512,No secondary storage,0,3,2,False,14.0,1920,1080,6,1,2
